epoch,train_loss,test_loss,train_acc,test_acc

1,0.498899,0.546256,0.740798,0.741379
2,0.483658,0.557490,0.739264,0.750000
3,0.479742,0.547172,0.769939,0.741379
4,0.453902,0.542307,0.777607,0.750000
5,0.466053,0.542395,0.782209,0.732759
6,0.455020,0.590023,0.769939,0.741379
7,0.437176,0.565646,0.771472,0.732759
8,0.462384,0.589645,0.763804,0.724138
9,0.465842,0.546050,0.776074,0.724138
10,0.433377,0.558465,0.774540,0.741379
11,0.478326,0.544013,0.760736,0.698276
12,0.453052,0.534971,0.782209,0.732759
13,0.459329,0.641682,0.802147,0.724138
14,0.484502,0.630405,0.782209,0.732759
15,0.454487,0.604278,0.780675,0.724138
16,0.437090,0.541135,0.794479,0.724138
17,0.435267,0.600519,0.786810,0.732759
18,0.446918,0.579741,0.796012,0.715517
19,0.427596,0.541376,0.782209,0.724138
20,0.452468,0.578285,0.789877,0.741379
21,0.453805,0.608591,0.792945,0.750000
22,0.443147,0.551345,0.779141,0.724138
23,0.436546,0.547427,0.789877,0.750000
24,0.437894,0.569993,0.794479,0.732759
25,0.434091,0.563774,0.776074,0.758621
26,0.469798,0.590260,0.765337,0.706897
27,0.480291,0.676873,0.791411,0.724138
28,0.438596,0.572625,0.780675,0.741379
29,0.431935,0.594056,0.777607,0.732759
30,0.440393,0.581660,0.774540,0.706897
31,0.446100,0.631718,0.788344,0.741379
32,0.443957,0.658566,0.791411,0.750000
